user_id,product_id,purchase_date,rating
U0258,P0119,2024-03-27,4
U0043,P0023,2025-10-24,4
U0344,P0112,2025-03-07,4
U0383,P0067,2024-07-18,1
U0203,P0061,2025-08-23,4
U0337,P0155,2025-05-20,5
U0316,P0046,2025-02-05,3
U0098,P0203,2024-01-07,4
U0075,P0112,2024-02-10,5
U0076,P0152,2024-03-05,5
U0228,P0121,2024-08-19,4
U0151,P0047,2024-06-01,3
U0434,P0107,2025-12-19,5
U0284,P0010,2025-07-16,5
U0372,P0174,2025-04-23,3
U0010,P0162,2024-05-21,4
U0243,P0198,2025-08-23,4
U0083,P0198,2025-06-15,4
U0113,P0164,2025-03-10,5
U0200,P0214,2025-08-26,5
U0083,P0073,2024-11-16,3
U0103,P0070,2024-07-16,4
U0108,P0053,2025-05-12,5
U0090,P0129,2024-02-11,4
U0317,P0041,2024-08-09,5
U0402,P0041,2025-03-28,5
U0264,P0027,2024-08-26,4
U0431,P0028,2024-09-02,5
U0086,P0223,2024-06-06,5
U0363,P0012,2025-12-28,3
U0332,P0012,2024-04-15,5
U0394,P0063,2025-06-10,5
U0185,P0063,2024-09-14,5
U0071,P0106,2025-08-28,5
U0350,P0073,2025-03-25,1
U0413,P0041,2024-06-11,4
U0396,P0027,2025-01-22,5
U0078,P0015,2025-07-13,5
U0359,P0112,2025-06-01,5
U0461,P0174,2025-08-21,4
U0279,P0159,2025-12-12,5
U0401,P0199,2024-05-03,2
U0172,P0157,2025-04-03,5
U0160,P0010,2024-01-26,5
U0133,P0062,2025-09-04,5
U0431,P0114,2025-02-02,5
U0482,P0059,2024-08-11,5
U0413,P0149,2024-06-10,4
U0402,P0147,2024-12-13,5
U0127,P0157,2024-06-15,3
U0365,P0117,2024-02-02,4
U0067,P0178,2024-06-22,5
U0302,P0046,2025-10-16,5
U0226,P0126,2025-03-05,5
U0249,P0034,2024-12-07,4
U0017,P0144,2025-02-20,5
U0057,P0167,2025-01-17,4
U0191,P0090,2025-05-16,2
U0074,P0207,2025-01-10,5
U0111,P0070,2024-02-18,4
U0446,P0108,2025-10-15,5
U0401,P0132,2024-03-17,5
U0390,P0138,2024-12-11,3
U0320,P0105,2025-04-13,4
U0024,P0114,2025-11-03,5
U0288,P0165,2024-04-20,5
U0388,P0046,2024-08-17,5
U0062,P0137,2024-01-09,5
U0126,P0215,2025-02-26,5
U0165,P0128,2025-01-11,4
U0213,P0136,2025-07-09,3
U0051,P0023,2024-03-09,5
U0348,P0086,2025-03-01,5
U0153,P0153,2024-07-11,4
U0483,P0031,2024-04-08,5
U0301,P0041,2025-02-09,3
U0238,P0025,2025-01-14,5
U0468,P0069,2024-04-25,5
U0403,P0132,2025-08-03,5
U0257,P0130,2025-09-06,5
U0276,P0143,2025-01-01,5
U0493,P0075,2024-01-02,5
U0247,P0057,2025-06-27,5
U0300,P0073,2024-03-24,5
U0036,P0125,2024-03-24,5
U0144,P0054,2025-11-11,5
U0386,P0070,2024-11-11,4
U0236,P0085,2024-12-05,5
U0002,P0002,2024-11-06,4
U0459,P0126,2025-09-03,5
U0333,P0138,2024-11-15,5
U0181,P0097,2025-07-06,5
U0416,P0003,2024-08-12,5
U0228,P0025,2025-11-23,4
U0047,P0161,2025-12-08,4
U0253,P0010,2025-08-23,5
U0108,P0070,2024-05-19,5
U0088,P0033,2024-02-19,3
U0034,P0021,2024-09-24,5
U0099,P0006,2025-11-18,5
U0002,P0165,2024-06-14,5
U0209,P0136,2025-08-12,5
U0023,P0058,2024-05-14,5
U0162,P0157,2025-02-19,5
U0378,P0117,2024-04-07,4
U0160,P0178,2024-08-14,5
U0304,P0086,2025-04-04,4
U0491,P0029,2025-09-26,4
U0038,P0159,2025-02-21,4
U0064,P0152,2024-07-11,5
U0356,P0054,2024-08-02,4
U0321,P0172,2024-09-02,4
U0196,P0002,2025-04-28,5
U0338,P0117,2025-08-26,4
U0318,P0087,2024-08-17,4
U0099,P0203,2024-10-26,5
U0464,P0200,2025-06-14,4
U0318,P0122,2024-01-02,3
U0300,P0204,2025-10-18,5
U0076,P0207,2025-05-12,5
U0266,P0169,2024-04-17,5
U0287,P0109,2025-04-07,5
U0104,P0088,2024-11-16,5
U0240,P0093,2025-10-10,4
U0084,P0203,2025-04-01,5
U0355,P0086,2024-04-16,5
U0488,P0207,2025-04-13,4
U0004,P0203,2025-01-18,3
U0149,P0184,2025-01-01,4
U0146,P0153,2024-06-28,5
U0092,P0198,2025-02-01,5
U0071,P0152,2025-04-10,4
U0190,P0170,2024-09-26,5
U0452,P0152,2024-03-05,5
U0163,P0157,2024-10-19,4
U0275,P0169,2025-04-02,5
U0144,P0218,2025-04-24,3
U0241,P0158,2024-03-17,4
U0452,P0131,2025-08-17,4
U0165,P0135,2025-12-16,4
U0298,P0176,2024-04-08,5
U0232,P0102,2024-05-14,5
U0293,P0204,2025-09-03,3
U0044,P0167,2025-04-19,2
U0263,P0110,2025-08-14,4
U0412,P0008,2025-01-06,4
U0136,P0092,2024-05-27,5
U0280,P0202,2025-04-04,3
U0185,P0078,2025-04-22,4
U0155,P0197,2025-04-23,5
U0071,P0193,2025-01-25,4
U0422,P0185,2025-10-25,5
U0242,P0195,2024-07-08,4
U0384,P0190,2025-12-27,4
U0406,P0202,2025-12-14,4
U0231,P0008,2025-03-19,5
U0157,P0003,2025-11-27,4
U0116,P0070,2025-06-19,2
U0403,P0202,2024-06-19,5
U0309,P0147,2025-07-07,5
U0033,P0041,2025-02-11,5
U0232,P0078,2024-03-04,5
U0091,P0033,2025-01-06,4
U0467,P0073,2024-04-10,5
U0036,P0005,2024-03-11,5
U0211,P0143,2024-09-14,4
U0036,P0041,2024-04-10,4
U0364,P0041,2025-10-07,5
U0351,P0054,2024-03-15,3
U0205,P0064,2025-10-16,4
U0295,P0050,2025-11-15,4
U0432,P0077,2025-10-27,5
U0090,P0198,2025-08-13,5
U0094,P0025,2025-12-02,4
U0446,P0051,2025-11-03,5
U0370,P0127,2025-09-04,5
U0040,P0130,2025-07-15,4
U0107,P0070,2024-02-21,5
U0384,P0014,2025-04-13,2
U0129,P0106,2025-11-24,4
U0237,P0195,2024-12-15,3
U0421,P0019,2024-01-20,3
U0087,P0203,2025-03-15,4
U0111,P0173,2024-08-23,2
U0326,P0165,2024-07-23,4
U0027,P0200,2025-04-08,4
U0123,P0116,2025-01-01,4
U0099,P0017,2024-02-26,5
U0341,P0054,2024-07-17,3
U0168,P0157,2024-09-13,5
U0062,P0152,2025-06-06,1
U0335,P0166,2024-08-08,3
U0418,P0132,2025-01-03,5
U0211,P0136,2025-02-23,5
U0473,P0044,2025-02-20,4
U0324,P0174,2024-06-06,5
U0453,P0218,2025-02-11,1
U0467,P0059,2024-09-19,5
U0007,P0097,2024-05-08,5
U0388,P0027,2024-03-12,4
U0104,P0037,2024-04-24,5
U0485,P0059,2024-05-11,5
U0332,P0193,2024-04-28,5
U0176,P0212,2024-11-08,5
U0357,P0156,2025-09-11,4
U0323,P0166,2024-04-02,5
U0073,P0033,2024-03-19,5
U0408,P0061,2024-07-24,4
U0085,P0063,2025-03-20,4
U0147,P0010,2025-08-03,5
U0242,P0198,2025-03-27,5
U0247,P0119,2025-02-25,5
U0154,P0010,2024-05-13,4
U0233,P0195,2025-02-11,3
U0241,P0130,2024-01-28,5
U0372,P0117,2025-07-24,4
U0251,P0198,2024-07-02,5
U0064,P0207,2024-04-25,4
U0131,P0193,2025-09-23,4
U0353,P0073,2025-07-24,4
U0245,P0057,2024-12-22,5
U0134,P0175,2024-05-08,5
U0488,P0042,2024-02-25,3
U0365,P0102,2024-09-07,5
U0085,P0065,2025-09-18,5
U0386,P0187,2024-02-21,5
U0409,P0202,2025-12-07,5
U0204,P0002,2024-08-01,3
U0397,P0135,2025-11-10,5
U0088,P0198,2024-04-16,4
U0486,P0061,2024-03-07,3
U0094,P0050,2025-07-15,5
U0320,P0122,2024-05-03,4
U0142,P0178,2024-08-16,5
U0052,P0023,2024-11-19,5
U0022,P0021,2024-07-20,5
U0493,P0125,2025-06-20,4
U0190,P0088,2025-04-12,5
U0194,P0092,2025-02-01,4
U0358,P0054,2024-10-04,5
U0144,P0193,2024-06-15,5
U0338,P0132,2025-11-07,1
U0327,P0209,2025-01-21,4
U0024,P0189,2025-11-15,4
U0407,P0125,2025-11-28,5
U0052,P0076,2024-12-05,5
U0449,P0051,2024-03-16,5
U0155,P0141,2025-03-15,5
U0247,P0062,2024-04-06,5
U0338,P0028,2025-12-01,4
U0476,P0059,2025-04-24,4
U0244,P0172,2024-11-05,5
U0325,P0024,2025-04-19,5
U0308,P0128,2025-12-24,5
U0196,P0201,2025-04-08,4
U0149,P0178,2025-12-19,5
U0382,P0147,2025-03-28,4
U0195,P0201,2025-01-19,5
U0434,P0185,2025-06-26,5
U0408,P0132,2024-02-13,1
U0437,P0019,2025-04-16,5
U0076,P0038,2024-10-11,4
U0353,P0086,2025-11-27,4
U0150,P0097,2024-06-05,5
U0108,P0208,2024-12-24,3
U0444,P0220,2025-12-13,4
U0418,P0218,2024-01-18,4
U0217,P0090,2025-07-03,5
U0145,P0010,2025-02-05,4
U0406,P0041,2025-08-21,4
U0150,P0054,2024-12-07,5
U0005,P0097,2024-11-26,5
U0076,P0178,2024-01-04,4
U0243,P0139,2024-09-21,4
U0223,P0161,2025-04-02,3
U0204,P0136,2024-11-24,4
U0355,P0172,2024-08-28,5
U0189,P0201,2024-02-16,5
U0466,P0192,2025-05-23,5
U0248,P0180,2025-05-19,3
U0167,P0212,2024-07-27,5
U0202,P0136,2025-02-17,5
U0276,P0203,2024-04-22,5
U0093,P0178,2024-01-18,4
U0161,P0157,2024-11-06,3
U0132,P0009,2024-02-17,4
U0495,P0026,2024-04-10,2
U0338,P0012,2025-12-11,5
U0181,P0131,2024-12-04,5
U0023,P0041,2024-05-28,5
U0111,P0164,2024-12-20,4
U0282,P0039,2024-07-15,3
U0131,P0178,2024-09-07,3
U0376,P0207,2025-10-22,5
U0262,P0108,2024-06-26,4
U0014,P0064,2024-05-04,5
U0351,P0073,2025-11-03,4
U0171,P0038,2024-05-01,3
U0497,P0029,2024-03-17,5
U0157,P0047,2024-09-12,5
U0444,P0084,2024-01-06,4
U0385,P0014,2025-08-19,3
U0005,P0183,2024-11-05,3
U0291,P0014,2025-12-25,4
U0312,P0046,2024-08-12,5
U0267,P0209,2024-05-21,5
U0486,P0059,2024-11-03,3
U0123,P0043,2024-02-24,4
U0476,P0192,2025-11-17,5
U0070,P0207,2024-07-01,5
U0467,P0002,2025-12-18,5
U0126,P0170,2024-10-15,5
U0346,P0196,2024-03-03,4
U0217,P0061,2025-02-11,5
U0128,P0218,2024-05-10,4
U0136,P0157,2025-04-10,5
U0492,P0212,2024-08-20,5
U0030,P0021,2025-06-10,4
U0003,P0217,2025-06-01,3
U0252,P0198,2024-07-04,5
U0004,P0162,2024-08-13,4
U0187,P0078,2025-02-15,5
U0225,P0093,2025-01-12,5
U0364,P0207,2025-01-05,4
U0381,P0027,2024-11-07,5
U0492,P0069,2024-07-16,5
U0410,P0033,2025-07-17,5
U0380,P0100,2024-02-04,5
U0065,P0207,2024-11-08,3
U0425,P0114,2024-07-16,4
U0127,P0187,2024-04-09,5
U0443,P0149,2025-04-16,5
U0415,P0132,2024-04-28,5
U0325,P0172,2024-07-02,4
U0099,P0110,2024-10-07,3
U0027,P0021,2025-12-21,5
U0114,P0070,2024-09-14,5
U0156,P0153,2025-06-23,4
U0164,P0047,2024-01-02,5
U0165,P0161,2025-10-04,4
U0130,P0094,2025-05-04,3
U0007,P0198,2024-06-12,5
U0186,P0151,2025-04-21,4
U0300,P0050,2024-11-24,5
U0022,P0041,2024-12-15,5
U0039,P0159,2025-05-24,4
U0390,P0190,2024-03-07,4
U0365,P0012,2025-06-15,5
U0061,P0018,2025-07-17,5
U0258,P0043,2025-12-05,4
U0490,P0084,2025-08-22,5
U0263,P0043,2025-09-13,5
U0200,P0090,2024-03-01,4
U0112,P0053,2025-09-23,5
U0133,P0106,2025-12-09,5
U0122,P0106,2025-03-09,5
U0027,P0064,2024-09-04,1
U0178,P0095,2025-02-23,5
U0136,P0105,2025-06-02,5
U0006,P0057,2025-03-09,5
U0276,P0223,2024-12-24,5
U0485,P0223,2024-08-08,4
U0105,P0070,2024-08-08,5
U0223,P0221,2024-08-06,4
U0418,P0049,2025-12-06,5
U0011,P0217,2025-11-20,4
U0074,P0073,2025-11-13,3
U0270,P0161,2024-07-13,2
U0424,P0030,2024-04-25,3
U0074,P0154,2024-01-26,3
U0377,P0219,2024-04-05,4
U0289,P0209,2024-05-11,4
U0125,P0062,2024-01-27,2
U0279,P0014,2025-03-01,5
U0013,P0157,2024-06-21,4
U0472,P0099,2024-08-06,5
U0115,P0164,2025-02-20,4
U0185,P0022,2024-10-05,4
U0272,P0169,2025-03-22,5
U0320,P0090,2024-05-16,5
U0478,P0192,2024-03-25,5
U0164,P0161,2025-02-04,5
U0492,P0038,2024-06-05,4
U0198,P0108,2025-08-23,5
U0309,P0086,2024-11-08,4
U0282,P0176,2025-09-18,5
U0197,P0108,2024-12-03,4
U0002,P0203,2025-09-16,5
U0472,P0084,2025-03-10,4
U0428,P0108,2024-04-27,4
U0383,P0190,2025-12-01,5
U0218,P0143,2024-08-27,5
U0081,P0122,2024-02-08,3
U0292,P0107,2024-03-16,5
U0241,P0057,2025-11-23,1
U0057,P0002,2024-09-06,1
U0427,P0185,2025-10-17,4
U0117,P0037,2025-02-17,4
U0487,P0084,2025-10-02,4
U0095,P0144,2024-12-15,4
U0335,P0212,2025-03-02,5
U0332,P0014,2024-02-03,4
U0399,P0008,2024-05-06,5
U0034,P0200,2025-04-18,4
U0476,P0084,2024-10-19,2
U0405,P0041,2025-02-10,1
U0183,P0102,2024-06-25,4
U0183,P0180,2024-06-14,5
U0258,P0130,2024-10-26,4
U0301,P0010,2025-03-05,5
U0041,P0024,2024-04-26,5
U0073,P0042,2025-08-26,3
U0149,P0047,2024-12-25,5
U0123,P0157,2024-03-19,5
U0255,P0139,2024-05-18,5
U0409,P0023,2025-02-15,4
U0479,P0192,2025-10-12,4
U0037,P0125,2025-08-09,5
U0227,P0036,2024-10-16,2
U0440,P0185,2024-08-12,5
U0320,P0096,2024-11-14,5
U0135,P0175,2024-10-21,3
U0405,P0132,2024-03-28,3
U0193,P0108,2024-04-13,5
U0343,P0065,2025-11-18,5
U0375,P0117,2025-04-13,4
U0163,P0212,2025-04-23,5
U0059,P0002,2024-08-05,5
U0164,P0212,2025-01-26,4
U0221,P0055,2024-04-28,2
U0389,P0070,2025-11-06,3
U0036,P0200,2025-12-15,5
U0269,P0054,2024-01-03,5
U0220,P0050,2024-04-12,5
U0247,P0130,2025-06-23,5
U0422,P0114,2024-02-24,5
U0316,P0128,2024-03-15,5
U0256,P0030,2025-05-17,5
U0231,P0220,2024-11-15,5
U0297,P0029,2024-07-23,5
U0086,P0056,2025-04-07,5
U0296,P0095,2025-01-10,5
U0258,P0032,2025-11-15,4
U0219,P0050,2024-03-15,4
U0091,P0198,2025-07-10,5
U0353,P0163,2025-12-20,5
U0464,P0023,2024-02-21,1
U0478,P0059,2024-11-15,5
U0413,P0008,2025-04-08,5
U0283,P0029,2025-02-12,5
U0468,P0059,2024-06-26,4
U0158,P0204,2025-11-08,1
U0014,P0162,2025-06-06,5
U0221,P0221,2024-10-21,4
U0027,P0148,2025-03-21,4
U0373,P0195,2024-07-08,3
U0411,P0041,2025-11-09,5
U0082,P0053,2024-02-01,4
U0322,P0040,2024-10-23,5
U0498,P0026,2024-12-24,3
U0233,P0200,2025-03-08,5
U0114,P0134,2024-12-25,5
U0194,P0169,2024-05-03,5
U0322,P0094,2024-02-15,5
U0063,P0107,2025-03-03,3
U0433,P0019,2025-02-16,5
U0212,P0143,2024-11-14,4
U0161,P0116,2024-03-10,1
U0092,P0162,2024-02-11,5
U0248,P0154,2024-03-17,5
U0475,P0200,2024-09-01,5
U0390,P0014,2024-04-01,4
U0113,P0037,2025-05-16,4
U0048,P0167,2025-08-24,5
U0224,P0221,2024-05-06,4
U0434,P0072,2025-02-19,5
U0301,P0122,2025-07-15,4
U0383,P0014,2024-10-13,4
U0291,P0050,2025-03-02,5
U0130,P0062,2025-07-01,3
U0415,P0202,2025-04-03,4
U0063,P0152,2025-04-15,5
U0165,P0144,2024-07-10,5
U0270,P0014,2025-12-20,5
U0414,P0020,2025-11-25,4
U0417,P0202,2024-08-16,2
U0141,P0178,2025-03-20,4
U0197,P0201,2025-01-21,5
U0295,P0119,2025-03-27,5
U0019,P0136,2024-06-21,1
U0241,P0119,2025-05-11,5
U0205,P0050,2025-10-02,4
U0357,P0127,2024-06-20,3
U0072,P0107,2025-04-06,3
U0371,P0095,2024-12-28,3
U0453,P0029,2024-05-03,4
U0353,P0208,2025-05-23,4
U0065,P0073,2025-11-15,5
U0268,P0014,2025-11-16,5
U0165,P0124,2024-02-09,5
U0428,P0169,2024-12-03,3
U0254,P0139,2024-08-27,4
U0250,P0130,2025-05-23,4
U0079,P0028,2024-04-12,4
U0232,P0132,2024-07-07,3
U0217,P0050,2024-03-15,5
U0382,P0027,2025-03-09,2
U0339,P0014,2025-02-18,3
U0258,P0057,2024-08-09,4
U0026,P0188,2025-04-10,4
U0056,P0166,2024-02-08,3
U0459,P0084,2024-02-18,3
U0116,P0180,2025-07-13,3
U0376,P0178,2025-08-07,4
U0105,P0164,2025-12-01,3
U0258,P0160,2025-12-10,5
U0353,P0112,2024-03-06,4
U0234,P0025,2025-07-11,2
U0499,P0029,2024-11-25,5
U0305,P0046,2024-08-28,4
U0291,P0075,2024-09-17,4
U0076,P0026,2025-12-11,4
U0377,P0012,2025-11-16,4
U0235,P0093,2025-12-11,5
U0397,P0222,2025-02-09,5
U0373,P0038,2025-04-22,5
U0183,P0078,2025-06-07,5
U0100,P0097,2024-05-21,5
U0461,P0135,2024-05-22,4
U0170,P0161,2025-05-07,2
U0267,P0214,2024-07-26,4
U0496,P0089,2025-02-01,4
U0268,P0160,2024-05-16,4
U0410,P0125,2024-04-10,5
U0064,P0107,2024-07-12,5
U0001,P0217,2025-05-26,5
U0341,P0144,2024-02-23,4
U0376,P0012,2024-05-08,2
U0217,P0143,2025-05-20,4
U0289,P0204,2024-11-25,4
U0070,P0073,2025-05-03,4
U0475,P0140,2024-07-26,5
U0224,P0195,2025-12-11,5
U0351,P0120,2025-07-15,4
U0014,P0108,2024-03-20,5
U0192,P0002,2025-01-25,5
U0065,P0152,2025-09-15,5
U0044,P0002,2025-10-04,5
U0290,P0204,2024-02-24,5
U0262,P0014,2024-09-05,5
U0496,P0084,2024-05-21,4
U0480,P0059,2024-02-03,1
U0310,P0134,2024-04-07,3
U0013,P0114,2025-01-04,4
U0248,P0210,2024-09-09,5
U0349,P0086,2024-07-05,5
U0095,P0198,2024-09-24,5
U0149,P0151,2025-06-22,4
U0198,P0028,2025-07-27,4
U0015,P0203,2025-01-19,4
U0331,P0169,2025-01-12,5
U0240,P0118,2025-01-06,4
U0439,P0054,2025-12-17,4
U0181,P0145,2025-08-23,5
U0473,P0059,2025-08-20,5
U0295,P0130,2025-03-23,4
U0490,P0061,2025-02-02,2
U0376,P0158,2024-08-22,4
U0054,P0045,2025-07-03,3
U0129,P0116,2025-06-20,5
U0016,P0083,2024-12-15,4
U0327,P0012,2024-05-16,4
U0223,P0208,2024-02-19,2
U0492,P0053,2024-03-01,4
U0209,P0143,2025-03-22,5
U0467,P0136,2025-04-27,4
U0183,P0144,2024-02-15,4
U0193,P0146,2024-03-26,5
U0052,P0046,2024-10-18,4
U0115,P0075,2025-07-23,4
U0447,P0074,2024-09-19,4
U0266,P0129,2025-07-20,3
U0358,P0150,2025-05-21,2
U0174,P0157,2025-01-05,4
U0419,P0194,2024-04-16,3
U0360,P0207,2024-06-03,5
U0307,P0021,2025-03-09,5
U0054,P0167,2024-11-12,4
U0156,P0059,2024-01-01,5
U0416,P0132,2025-11-22,5
U0283,P0039,2025-12-05,4
U0219,P0143,2025-02-20,5
U0189,P0090,2025-01-08,4
U0383,P0207,2024-01-28,5
U0417,P0041,2024-08-06,4
U0150,P0047,2025-11-04,5
U0040,P0021,2024-08-23,5
U0183,P0220,2024-08-23,4
U0188,P0075,2024-09-09,4
U0278,P0161,2025-07-23,5
U0249,P0130,2024-09-08,4
U0284,P0204,2024-01-08,5
U0333,P0030,2024-08-27,2
U0143,P0153,2024-01-09,5
U0197,P0078,2024-07-06,5
U0273,P0054,2024-09-25,4
U0014,P0194,2025-05-26,5
U0111,P0088,2025-07-26,5
U0377,P0207,2024-09-13,5
U0478,P0220,2025-07-19,5
U0394,P0190,2025-08-24,5
U0122,P0116,2025-11-09,3
U0128,P0076,2025-10-13,2
U0141,P0153,2024-02-10,5
U0165,P0217,2024-08-15,1
U0005,P0162,2025-11-28,5
U0210,P0143,2025-10-18,4
U0033,P0005,2025-05-28,4
U0117,P0038,2024-04-04,5
U0095,P0221,2025-10-11,2
U0368,P0195,2025-01-22,5
U0435,P0030,2024-06-04,3
U0122,P0157,2025-11-14,3
U0219,P0037,2024-06-20,5
U0172,P0167,2025-08-10,5
U0083,P0122,2024-10-01,3
U0109,P0131,2025-04-13,5
U0017,P0039,2025-11-03,5
U0491,P0058,2025-09-24,3
U0450,P0152,2025-11-17,5
U0151,P0085,2024-06-08,4
