variant_id,label
V00157,512 GB
V00158,Đen
V00159,Đỏ nâu
V00160,Vàng
V00161,256 GB
V00162,Đen
V00163,Xanh
V00164,Xám
V00165,Đen
V00166,Xanh Đậm
V00167,Xanh Nhạt
V00168,128 GB
V00169,Tím
V00170,Trắng
V00171,128 GB
V00172,256 GB
V00173,Nâu
V00174,Đen
V00175,Bạc
V00176,128 GB
V00177,Xanh lá
V00178,Đen
V00179,Xám
V00180,256 GB
V00181,512 GB
V00182,1 TB
V00183,128 GB
V00184,256 GB
V00185,Đen
V00186,Xanh
V00187,256 GB
V00188,Xám Titan
V00189,Đen
V00190,Xanh băng
V00191,128 GB
V00192,Xanh
V00193,Đen
V00194,Tím
V00195,256 GB
V00196,Nâu
V00197,Bạc
V00198,Đen
V00199,Xanh
V00200,128 GB
V00201,Đen
V00202,Vàng
V00203,128 GB
V00204,Đen
V00205,Vàng
V00206,Xanh
V00207,Hồng
V00208,256 GB
V00209,512 GB
V00210,1 TB
V00211,Xanh Da Trời
V00212,Đen Không Gian
V00213,Trắng Mây
V00214,Vàng Nhạt
V00215,64 GB
V00216,Đen
V00217,Xanh
V00218,Tím
V00219,256 GB
V00220,Vàng
V00221,Đen
V00222,Đỏ nâu
V00223,256 GB
V00224,512 GB
V00225,Tím
V00226,Đen
V00227,Xanh
V00228,Trắng
V00229,64 GB
V00230,Đen
V00231,Xanh
V00232,256 GB
V00233,512 GB
V00234,Tím
V00235,Đen
V00236,Trắng
V00237,Xanh
V00238,256 GB
V00239,Đen
V00240,256 GB
V00241,Tím
V00242,Xám
V00243,256 GB
V00244,512 GB
V00245,1 TB
V00246,2 TB
V00247,Bạc
V00248,Cam Vũ Trụ
V00249,Xanh Đậm
V00250,256 GB
V00251,Vàng
V00252,Đen
V00253,Cam
V00254,256 GB
V00255,512 GB
V00256,Xanh Navy
V00257,Đỏ San Hô
V00258,Đen Tuyền
V00259,512 GB
V00260,Vàng
V00261,Xám
V00262,64 GB
V00263,Đen
V00264,Xám
V00265,Xanh
V00266,128 GB
V00267,Vàng
V00268,Trắng
V00269,Đen
V00270,128 GB
V00271,Đen
V00272,Xám
V00273,64 GB
V00274,128 GB
V00275,Xanh
V00276,Đen
V00277,256 GB
V00278,512 GB
V00279,1 TB
V00280,128 GB
V00281,256 GB
V00282,Xanh
V00283,Đen
V00284,Trắng
V00285,64 GB
V00286,Đen
V00287,Xanh
V00288,128 GB
V00289,256 GB
V00290,Đen
V00291,Vàng
V00292,Xanh
V00293,128 GB
V00294,Đen
V00295,Hồng
V00296,Xanh
V00297,Cam
V00298,Đen
V00299,Đen
V00300,Đen Đỏ
V00301,Xanh
V00302,128 GB
V00303,Đen
V00304,Tím
V00305,Xám
V00306,Trắng
V00307,512 GB
V00308,Vàng
V00309,Đỏ
V00310,Đen
V00311,Trắng
V00312,64 GB
V00313,Bạc Xanh
V00314,Xám
V00315,512 GB
V00316,Đen
V00317,Bạc
V00318,Xanh lá
V00319,Đen
V00320,Xanh
V00321,256 GB
V00322,512 GB
V00323,Vàng
V00324,256 GB
V00325,512 GB
V00326,Trắng
V00327,Tím Oải Hương
V00328,Xanh Lam Khói
V00329,Xanh Lá Xô Thơm
V00330,Đen
V00331,512 GB
V00332,Đen
V00333,Xanh
V00334,256 GB
V00335,Bạc
V00336,Đen
V00337,Xanh lá
V00338,128 GB
V00339,Đen
V00340,Tím khói
V00341,Xanh băng
V00342,128 GB
V00343,Xám Nhạt
V00344,Đen
V00345,Xanh Nhạt
V00346,128 GB
V00347,Đen
V00348,Xanh dương
V00349,Vàng
V00350,128 GB
V00351,Đen
V00352,Trắng
V00353,Xanh
V00354,256 GB
V00355,Xanh dương
V00356,Bạc
V00357,Đen
V00358,128 GB
V00359,256 GB
V00360,Đen
V00361,Hồng
V00362,Vàng
V00363,Xanh
V00364,128 GB
V00365,256 GB
V00366,512 GB
V00367,Hồng
V00368,Xanh dương
V00369,Đen
V00370,Xanh lá
V00371,128 GB
V00372,Đen
V00373,Tím
V00374,Xanh
V00375,128 GB
V00376,256 GB
V00377,Bạc
V00378,Đen
V00379,Tím
V00380,Vàng
V00381,Xanh
V00382,128 GB
V00383,Xám
V00384,Trắng Bình Minh
V00385,64 GB
V00386,Đen
V00387,Xanh
V00388,Xám
V00389,128 GB
V00390,Xám
V00391,Xanh lá
V00392,512 GB
V00393,Đen
V00394,Bạc
V00395,256 GB
V00396,Tím
V00397,Xám
V00398,512 GB
V00399,Đen
V00400,Xám
V00401,Vàng
V00402,128 GB
V00403,512 GB
V00404,Xanh Navy
V00405,Đen
V00406,Xanh Icy
V00407,Trắng
V00408,128 GB
V00409,Xanh biển
V00410,Xanh lá
V00411,Đen
V00412,Xám
V00413,128 GB
V00414,Đen
V00415,Xanh dương
V00416,256 GB
V00417,512 GB
V00418,Xanh
V00419,Tím
V00420,Đen
V00421,Trắng
V00422,128 GB
V00423,Xanh
V00424,Đen
V00425,128 GB
V00426,Xám
V00427,Đen
V00428,Xanh
V00429,256 GB
V00430,Đen
V00431,Tím khói
V00432,Xám Titan
V00433,256 GB
V00434,Cam
V00435,Xanh
V00436,128 GB
V00437,256 GB
V00438,Xanh lá
V00439,Xám
V00440,256 GB
V00441,512 GB
V00442,Xám Bạc
V00443,Đen Tuyền
V00444,Xanh Navy
V00445,Đen
V00446,Xanh
V00447,Đen
V00448,Xanh
V00449,256 GB
V00450,512 GB
V00451,1 TB
V00452,Xám Metal
V00453,Xanh Navy
V00454,Hồng Rosé
V00455,256 GB
V00456,Đen
V00457,256 GB
V00458,Tím
V00459,Xanh
V00460,Đen
V00461,128 GB
V00462,Đen
V00463,128 GB
V00464,Đen
V00465,Trắng
V00466,256 GB
V00467,Đen
V00468,Tím
V00469,Trắng
V00470,Xám
V00471,128 GB
V00472,256 GB
V00473,512 GB
V00474,Trắng
V00475,Đen
V00476,256 GB
V00477,512 GB
V00478,Hồng Phai
V00479,Trắng
V00480,Đen
V00481,256 GB
V00482,Đen
V00483,Tím
V00484,Xanh lá
V00485,Bạc
V00486,512 GB
V00487,Đen
V00488,Đỏ
V00489,256 GB
V00490,Xám
V00491,Tím
V00492,Cam
V00493,512 GB
V00494,Titan
V00495,Cam
V00496,256 GB
V00497,Đen
V00498,Trắng
V00499,128 GB
V00500,Vàng
V00501,Đen
V00502,Xanh
V00503,512 GB
V00504,1 TB
V00505,Xanh lá
V00506,Trắng
V00507,128 GB
V00508,Đen
V00509,Xanh
V00510,128 GB
V00511,Đen
V00512,Xanh dương
V00513,Xanh lá
V00514,Cam
V00515,512 GB
V00516,Đen
V00517,256 GB
V00518,512 GB
V00519,1 TB
V00520,Bạc
V00521,Xanh Đậm
V00522,Cam Vũ Trụ
V00523,512 GB
V00524,Tím
V00525,Đen
V00526,256 GB
V00527,Xám
V00528,Vàng
V00529,256 GB
V00530,Xanh lam
V00531,Đen
V00532,128 GB
V00533,Xanh
V00534,Đen
V00535,Xám
V00536,Hồng
V00537,128 GB
V00538,Xám
V00539,256 GB
V00540,Xám
V00541,Bạc
V00542,128 GB
V00543,Xám
V00544,256 GB
V00545,Xanh dương
V00546,Xám
V00547,Bạc
V00548,256 GB
V00549,Đen
V00550,Trắng
V00551,64 GB
V00552,128 GB
V00553,Xám
V00554,128 GB
V00555,256 GB
V00556,512 GB
V00557,1 TB
V00558,Tím
V00559,Trắng
V00560,Xám
V00561,Xanh dương
V00562,128 GB
V00563,256 GB
V00564,512 GB
V00565,Xám không gian
V00566,Xanh dương
V00567,Ánh Sao
V00568,Tím
V00569,128 GB
V00570,Xanh
V00571,64 GB
V00572,Đen
V00573,64 GB
V00574,Xanh
V00575,64 GB
V00576,128 GB
V00577,Xám
V00578,128 GB
V00579,256 GB
V00580,512 GB
V00581,1 TB
V00582,Ánh Sao
V00583,Xám không gian
V00584,Xanh dương
V00585,Tím
V00586,128 GB
V00587,256 GB
V00588,512 GB
V00589,1 TB
V00590,Tím
V00591,Xám không gian
V00592,Ánh Sao
V00593,Xanh dương
V00594,256 GB
V00595,512 GB
V00596,Đen
V00597,Bạc
V00598,128 GB
V00599,Xám
V00600,Xanh dương
V00601,Xanh lá
V00602,1 TB
V00603,2 TB
V00604,Đen
V00605,Bạc
V00606,128 GB
V00607,256 GB
V00608,512 GB
V00609,1 TB
V00610,Tím
V00611,Ánh Sao
V00612,Xám không gian
V00613,Xanh dương
V00614,256 GB
V00615,Xám
V00616,128 GB
V00617,Xám
V00618,Bạc
V00619,64 GB
V00620,Xám
V00621,Hồng
V00622,Xanh lá
V00623,256 GB
V00624,Xám
V00625,Bạc
V00626,Xanh dương
V00627,128 GB
V00628,Xanh dương
V00629,Xám
V00630,Bạc
V00631,1 TB
V00632,2 TB
V00633,Đen
V00634,Bạc
V00635,256 GB
V00636,Xám
V00637,128 GB
V00638,Xám
V00639,256 GB
V00640,512 GB
V00641,Bạc
V00642,Đen
V00643,128 GB
V00644,Xám
V00645,256 GB
V00646,Xám
V00647,256 GB
V00648,Trắng
V00649,Xanh lá
V00650,128 GB
V00651,Xám
V00652,Xanh lá
V00653,Xanh dương
V00654,128 GB
V00655,256 GB
V00656,512 GB
V00657,1 TB
V00658,Ánh Sao
V00659,Tím
V00660,Xám không gian
V00661,Xanh dương
V00662,128 GB
V00663,Xám
V00664,Bạc
V00665,32 GB
V00666,Đen
V00667,128 GB
V00668,256 GB
V00669,512 GB
V00670,1 TB
V00671,Tím
V00672,Xám không gian
V00673,Ánh Sao
V00674,Xanh dương
V00675,128 GB
V00676,Xám
V00677,Bạc
V00678,256 GB
V00679,512 GB
V00680,Bạc
V00681,Đen
V00682,128 GB
V00683,Xám
V00684,256 GB
V00685,Xám
V00686,128 GB
V00687,Xám
V00688,128 GB
V00689,Xám
V00690,Bạc
V00691,Xanh dương
V00692,256 GB
V00693,Xám
V00694,Bạc
V00695,128 GB
V00696,Bạc
V00697,256 GB
V00698,Đen
V00699,Trắng
V00700,1 TB
V00701,Xám
V00702,Bạc
V00703,256 GB
V00704,512 GB
V00705,Bạc
V00706,Đen
V00707,128 GB
V00708,Xám
V00709,Bạc
V00710,256 GB
V00711,Xanh dương
V00712,Xám
V00713,Bạc
V00714,128 GB
V00715,256 GB
V00716,512 GB
V00717,Ánh Sao
V00718,Xám không gian
V00719,Xanh dương
V00720,Tím
V00721,64 GB
V00722,128 GB
V00723,Xanh dương
V00724,Xám
V00725,128 GB
V00726,Xám
V00727,Xanh dương
V00728,Bạc
V00729,256 GB
V00730,Xanh
V00731,128 GB
V00732,256 GB
V00733,512 GB
V00734,1 TB
V00735,Xám không gian
V00736,Xanh dương
V00737,Ánh Sao
V00738,Tím
V00739,1 TB
V00740,2 TB
V00741,Bạc
V00742,Đen
V00743,1 TB
V00744,Xám
V00745,Bạc
V00746,1 TB
V00747,2 TB
V00748,Đen
V00749,Bạc
V00750,256 GB
V00751,Xám
V00752,512 GB
V00753,Xám
V00754,64 GB
V00755,Xanh
V00756,128 GB
V00757,256 GB
V00758,Xám
V00759,Bạc
V00760,256 GB
V00761,Hồng
V00762,64 GB
V00763,128 GB
V00764,Xám
V00765,128 GB
V00766,Xám
V00767,128 GB
V00768,Xám
V00769,64 GB
V00770,Xám
V00771,Bạc
V00772,128 GB
V00773,256 GB
V00774,512 GB
V00775,Bạc
V00776,Xanh dương
V00777,Hồng
V00778,Vàng
V00779,128 GB
V00780,Xám
V00781,Bạc
V00782,Xanh Đậm
V00783,64 GB
V00784,Xám
V00785,Bạc
V00786,512 GB
V00787,Đen
V00788,Trắng
V00789,1 TB
V00790,2 TB
V00791,Đen
V00792,Bạc
V00793,128 GB
V00794,Tím
V00795,Xanh
V00796,Xám
V00797,128 GB
V00798,256 GB
V00799,Xám
V00800,Bạc
V00801,64 GB
V00802,Xám
V00803,Bạc
V00804,256 GB
V00805,Xám
V00806,128 GB
V00807,Xám
V00808,256 GB
V00809,Bạc
V00810,Xám
V00811,128 GB
V00812,256 GB
V00813,512 GB
V00814,1 TB
V00815,Xám không gian
V00816,Xanh dương
V00817,Ánh Sao
V00818,Tím
V00819,64 GB
V00820,Bạc
V00821,Xám
V00822,256 GB
V00823,Xám
V00824,Bạc
V00825,256 GB
V00826,Bạc
V00827,64 GB
V00828,128 GB
V00829,Xanh dương
V00830,Xám
V00831,256 GB
V00832,Bạc
V00833,Xám
V00834,256 GB
V00835,Tím
V00836,Xám
V00837,128 GB
V00838,Xám
V00839,256 GB
V00840,Tím
V00841,Xanh lá
V00842,Xám
V00843,1 TB
V00844,2 TB
V00845,Đen
V00846,Bạc
V00847,1 TB
V00848,2 TB
V00849,Bạc
V00850,Đen
V00851,32 GB
V00852,Xanh
V00853,Đen
V00854,128 GB
V00855,256 GB
V00856,512 GB
V00857,Bạc
V00858,Xanh dương
V00859,Hồng
V00860,Vàng
